subject_id,wave,participation,EVI,EVI_reduced,equal_polit,equal_job,equal_educ,homosexuality,abortion,divorce,SVI,rel_imp,rel_person,nation_pride,parents_proud,respect_author,age,hhsize,children,gender,maritalst,education,rel_service,hhincome,distress,bfive_extra,bfive_agree,bfive_consc,bfive_neuro,bfive_openn,region,prefecture,townsize,age_sq,age_group,cum_infected_in_pref_VIC1,cum_deaths_in_pref_VIC1,emergency_in_pref_VIC1
WVS13,WVS7,W0 only,NA,NA,NA,NA,NA,66.6666666666667,66.6666666666667,66.6666666666667,77.77777777777777,100,100,66.6666666666667,0,100,43,4,2,Female,Married,Vocational school/University-preparator,Only on special holidays,NA,NA,NA,NA,NA,NA,NA,Kyushu and Okinawa,Fukuoka,"100,000-500,000",1849,36-50 years,12.794014037194945,0.486834628508179,0
WVS14,WVS7,W0 only,46.2962962962963,46.2962962962963,NA,NA,33.3333333333333,66.6666666666667,55.5555555555556,55.5555555555556,83.33333333333334,100,100,33.3333333333333,66.6666666666667,100,40,3,0,Male,Divorced,Vocational school/University-preparator,Once a year,NA,NA,NA,NA,NA,NA,NA,Kansai,Osaka,"500,000 and more",1600,36-50 years,20.005238928520306,0.7468019057026812,1
WVS15,WVS7,W0 only,90.74074074074073,90.74074074074073,NA,NA,100,100,44.4444444444444,100,83.33333333333334,100,100,66.6666666666667,33.3333333333333,100,24,4,0,Female,Single,University-level education,Less often or never,NA,NA,NA,NA,NA,NA,NA,Kansai,Osaka,"500,000 and more",576,18-35 years,20.005238928520306,0.7468019057026812,1
WVS16,WVS7,W0 only,81.48148148148148,81.48148148148148,NA,NA,100,100,44.4444444444444,44.4444444444444,30.555555555555557,33.3333333333333,0,0,33.3333333333333,100,53,2,0,Female,Married,High school,Less often or never,NA,NA,NA,NA,NA,NA,NA,Kansai,Osaka,"100,000-500,000",2809,50+ years,20.005238928520306,0.7468019057026812,1
WVS17,WVS7,W0 only,59.25925925925926,59.25925925925926,NA,NA,66.6666666666667,22.2222222222222,44.4444444444444,88.8888888888889,NA,NA,100,0,33.3333333333333,50,35,3,0,Male,Single,Vocational school/University-preparator,Once a year,NA,NA,NA,NA,NA,NA,NA,Kansai,Nara,"20,000-100,000",1225,18-35 years,6.568650323562655,0.15100345571408402,0
WVS18,WVS7,W0 only,NA,NA,NA,NA,33.3333333333333,NA,NA,NA,36.111111111111114,33.3333333333333,0,33.3333333333333,33.3333333333333,100,76,1,2,Female,Widowed,High school,Only on special holidays,NA,NA,NA,NA,NA,NA,NA,Chugoku,Okayama,"500,000 and more",5776,50+ years,1.3238496276275766,0,0
WVS19,WVS7,W0 only,57.40740740740741,57.40740740740741,NA,NA,66.6666666666667,22.2222222222222,77.7777777777778,44.4444444444444,NA,66.6666666666667,NA,0,33.3333333333333,100,81,1,1,Female,Widowed,High school,Only on special holidays,NA,NA,NA,NA,NA,NA,NA,Hokkaido and Tohoku,Hokkaido,"20,000-100,000",6561,50+ years,19.121029802393057,1.397232407982676,1
WVS20,WVS7,W0 only,38.888888888888886,38.888888888888886,NA,NA,33.3333333333333,66.6666666666667,22.2222222222222,44.4444444444444,69.44444444444446,66.6666666666667,100,33.3333333333333,33.3333333333333,100,25,6,0,Male,Single,University-level education,Only on special holidays,NA,NA,NA,NA,NA,NA,NA,Chubu,Aichi,"500,000 and more",625,18-35 years,6.721984934533568,0.4507839995545193,0
WVS21,WVS7,W0 only,62.96296296296296,62.96296296296296,NA,NA,66.6666666666667,100,22.2222222222222,55.5555555555556,63.88888888888889,66.6666666666667,100,0,33.3333333333333,100,42,4,2,Female,Married,University-level education,Only on special holidays,NA,NA,NA,NA,NA,NA,NA,Hokkaido and Tohoku,Hokkaido,"20,000-100,000",1764,36-50 years,19.121029802393057,1.397232407982676,1
WVS22,WVS7,W0 only,NA,NA,NA,NA,NA,44.4444444444444,44.4444444444444,77.7777777777778,NA,100,100,33.3333333333333,NA,100,23,4,0,Male,Single,Vocational school/University-preparator,Only on special holidays,NA,NA,NA,NA,NA,NA,NA,Chubu,Aichi,"100,000-500,000",529,18-35 years,6.721984934533568,0.4507839995545193,0
WVS23,WVS7,W0 only,68.51851851851852,68.51851851851852,NA,NA,66.6666666666667,66.6666666666667,55.5555555555556,88.8888888888889,NA,100,100,33.3333333333333,NA,50,41,5,3,Female,Married,Vocational school/University-preparator,Only on special holidays,NA,NA,NA,NA,NA,NA,NA,Kanto,Tokyo,"500,000 and more",1681,36-50 years,36.14853903095434,1.558985830598464,1
WVS24,WVS7,W0 only,92.5925925925926,92.5925925925926,NA,NA,100,100,55.5555555555556,100,NA,100,NA,33.3333333333333,100,100,55,3,1,Male,Married,University-level education,Once a year,NA,NA,NA,NA,NA,NA,NA,Kanto,Tokyo,"500,000 and more",3025,50+ years,36.14853903095434,1.558985830598464,1
WVS25,WVS7,W0 only,79.62962962962963,79.62962962962963,NA,NA,66.6666666666667,100,77.7777777777778,100,72.22222222222223,100,100,0,33.3333333333333,100,30,4,2,Female,Married,High school,Less often or never,NA,NA,NA,NA,NA,NA,NA,Kanto,Saitama,"500,000 and more",900,18-35 years,13.288376142735677,0.612681277072854,1
WVS26,WVS7,W0 only,40.74074074074074,40.74074074074074,NA,NA,66.6666666666667,0,0,44.4444444444444,NA,NA,100,33.3333333333333,NA,0,52,4,2,Male,Married,High school,Less often or never,NA,NA,NA,NA,NA,NA,NA,Kanto,Saitama,"100,000-500,000",2704,50+ years,13.288376142735677,0.612681277072854,1
WVS27,WVS7,W0 only,NA,NA,NA,NA,66.6666666666667,100,NA,NA,77.77777777777777,100,100,33.3333333333333,33.3333333333333,100,24,4,0,Female,Single,Vocational school/University-preparator,Only on special holidays,NA,NA,NA,NA,NA,NA,NA,Kanto,Tokyo,"500,000 and more",576,18-35 years,36.14853903095434,1.558985830598464,1
WVS28,WVS7,W0 only,55.55555555555556,55.55555555555556,NA,NA,66.6666666666667,44.4444444444444,44.4444444444444,44.4444444444444,NA,100,NA,0,33.3333333333333,50,37,3,2,Female,Married,High school,Less often or never,NA,NA,NA,NA,NA,NA,NA,Kanto,Kanagawa,"500,000 and more",1369,36-50 years,13.521212877694081,0.6928403716352451,1
WVS29,WVS7,W0 only,NA,NA,NA,NA,NA,100,NA,NA,NA,NA,NA,NA,NA,50,32,3,0,Female,Single,High school,Less often or never,NA,NA,NA,NA,NA,NA,NA,Shikoku,Kagawa,"100,000-500,000",1024,18-35 years,2.946611607124065,0,0
WVS30,WVS7,W0 only,55.55555555555556,55.55555555555556,NA,NA,66.6666666666667,44.4444444444444,44.4444444444444,44.4444444444444,61.111111111111114,33.3333333333333,100,33.3333333333333,33.3333333333333,100,63,4,2,Female,Married,University-level education,Only on special holidays,NA,NA,NA,NA,NA,NA,NA,Chugoku,Okayama,"5,000-20,000",3969,50+ years,1.3238496276275766,0,0
WVS31,WVS7,W0 only,87.03703703703704,87.03703703703704,NA,NA,100,77.7777777777778,44.4444444444444,100,77.77777777777777,100,100,33.3333333333333,33.3333333333333,100,62,2,3,Female,Married,University-level education,Once a year,NA,NA,NA,NA,NA,NA,NA,Hokkaido and Tohoku,Hokkaido,"500,000 and more",3844,50+ years,19.121029802393057,1.397232407982676,1
WVS32,WVS7,W0 only,66.66666666666667,66.66666666666667,NA,NA,66.6666666666667,100,0,100,NA,66.6666666666667,100,NA,0,100,27,3,0,Male,Single,Vocational school/University-preparator,Once a year,NA,NA,NA,NA,NA,NA,NA,Hokkaido and Tohoku,Hokkaido,"100,000-500,000",729,18-35 years,19.121029802393057,1.397232407982676,1
WVS33,WVS7,W0 only,NA,NA,NA,NA,100,NA,0,NA,NA,100,100,33.3333333333333,NA,100,67,1,2,Female,Widowed,High school,Only on special holidays,NA,NA,NA,NA,NA,NA,NA,Kanto,Saitama,"100,000-500,000",4489,50+ years,13.288376142735677,0.612681277072854,1
WVS34,WVS7,W0 only,62.96296296296296,62.96296296296296,NA,NA,66.6666666666667,77.7777777777778,0,100,NA,100,100,33.3333333333333,NA,100,49,4,2,Female,Married,Vocational school/University-preparator,Once a year,NA,NA,NA,NA,NA,NA,NA,Kanto,Tokyo,"500,000 and more",2401,36-50 years,36.14853903095434,1.558985830598464,1
WVS35,WVS7,W0 only,NA,NA,NA,NA,66.6666666666667,NA,66.6666666666667,NA,NA,66.6666666666667,100,NA,33.3333333333333,50,63,3,3,Female,Married,High school,Only on special holidays,NA,NA,NA,NA,NA,NA,NA,Kyushu and Okinawa,Fukuoka,"20,000-100,000",3969,50+ years,12.794014037194945,0.486834628508179,0
WVS36,WVS7,W0 only,68.51851851851852,68.51851851851852,NA,NA,66.6666666666667,100,55.5555555555556,55.5555555555556,NA,66.6666666666667,100,33.3333333333333,NA,100,25,3,0,Male,Single,High school,Less often or never,NA,NA,NA,NA,NA,NA,NA,Kansai,Osaka,"500,000 and more",625,18-35 years,20.005238928520306,0.7468019057026812,1
WVS37,WVS7,W0 only,88.88888888888889,88.88888888888889,NA,NA,100,100,55.5555555555556,77.7777777777778,88.88888888888889,100,100,66.6666666666667,66.6666666666667,100,46,5,2,Female,Married,University-level education,Only on special holidays,NA,NA,NA,NA,NA,NA,NA,Kansai,Wakayama,"20,000-100,000",2116,36-50 years,6.828646497229521,0.32517364272521526,0
WVS38,WVS7,W0 only,77.77777777777777,77.77777777777777,NA,NA,66.6666666666667,100,66.6666666666667,100,NA,100,100,0,NA,100,19,5,0,Female,Single,Vocational school/University-preparator,Less often or never,NA,NA,NA,NA,NA,NA,NA,Kyushu and Okinawa,Kagoshima,"20,000-100,000",361,18-35 years,0.6296214212318417,0,0
WVS39,WVS7,W0 only,68.51851851851852,68.51851851851852,NA,NA,66.6666666666667,88.8888888888889,44.4444444444444,77.7777777777778,55.55555555555556,33.3333333333333,100,0,33.3333333333333,100,91,4,2,Female,Married,Vocational school/University-preparator,Only on special holidays,NA,NA,NA,NA,NA,NA,NA,Chubu,Aichi,"500,000 and more",8281,50+ years,6.721984934533568,0.4507839995545193,0
WVS40,WVS7,W0 only,74.07407407407408,74.07407407407408,NA,NA,66.6666666666667,100,66.6666666666667,77.7777777777778,63.88888888888889,66.6666666666667,100,0,33.3333333333333,100,19,5,0,Female,Single,University-level education,Only on special holidays,NA,NA,NA,NA,NA,NA,NA,Hokkaido and Tohoku,Hokkaido,"100,000-500,000",361,18-35 years,19.121029802393057,1.397232407982676,1
WVS41,WVS7,W0 only,NA,NA,NA,NA,66.6666666666667,NA,NA,44.4444444444444,NA,66.6666666666667,NA,33.3333333333333,33.3333333333333,50,53,3,1,Female,Married,High school,Less often or never,NA,NA,NA,NA,NA,NA,NA,Hokkaido and Tohoku,Fukushima,"20,000-100,000",2809,50+ years,4.41861885975631,0,0
WVS42,WVS7,W0 only,51.85185185185185,51.85185185185185,NA,NA,33.3333333333333,100,22.2222222222222,88.8888888888889,66.66666666666667,66.6666666666667,100,33.3333333333333,66.6666666666667,50,47,3,2,Male,Married,University-level education,Once a year,NA,NA,NA,NA,NA,NA,NA,Hokkaido and Tohoku,Fukushima,"5,000-20,000",2209,36-50 years,4.41861885975631,0,0
WVS43,WVS7,W0 only,81.48148148148148,81.48148148148148,NA,NA,100,100,44.4444444444444,44.4444444444444,88.88888888888889,100,100,66.6666666666667,66.6666666666667,100,43,5,3,Female,Married,University-level education,Only on special holidays,NA,NA,NA,NA,NA,NA,NA,Kanto,Kanagawa,"20,000-100,000",1849,36-50 years,13.521212877694081,0.6928403716352451,1
WVS44,WVS7,W0 only,68.51851851851852,68.51851851851852,NA,NA,66.6666666666667,100,55.5555555555556,55.5555555555556,NA,33.3333333333333,NA,0,33.3333333333333,100,25,3,0,Female,Single,University-level education,Once a month,NA,NA,NA,NA,NA,NA,NA,Kansai,Nara,"100,000-500,000",625,18-35 years,6.568650323562655,0.15100345571408402,0
WVS45,WVS7,W0 only,61.111111111111114,61.111111111111114,NA,NA,66.6666666666667,55.5555555555556,55.5555555555556,55.5555555555556,41.66666666666667,33.3333333333333,0,33.3333333333333,66.6666666666667,100,64,2,1,Female,Married,High school,Once a week or more,NA,NA,NA,NA,NA,NA,NA,Kyushu and Okinawa,Fukuoka,"500,000 and more",4096,50+ years,12.794014037194945,0.486834628508179,0
WVS46,WVS7,W0 only,NA,NA,NA,NA,NA,55.5555555555556,22.2222222222222,55.5555555555556,NA,66.6666666666667,NA,33.3333333333333,33.3333333333333,100,48,4,2,Male,Married,Master or Doctoral degree,Less often or never,NA,NA,NA,NA,NA,NA,NA,Kanto,Tokyo,"500,000 and more",2304,36-50 years,36.14853903095434,1.558985830598464,1
WVS47,WVS7,W0 only,NA,NA,NA,NA,NA,44.4444444444444,44.4444444444444,44.4444444444444,69.44444444444446,66.6666666666667,100,33.3333333333333,33.3333333333333,100,39,3,1,Female,Married,High school,Only on special holidays,NA,NA,NA,NA,NA,NA,NA,Kanto,Chiba,"20,000-100,000",1521,36-50 years,14.002749630836599,0.6683130505626559,1
WVS48,WVS7,W0 only,NA,NA,NA,NA,66.6666666666667,100,NA,88.8888888888889,NA,NA,NA,33.3333333333333,NA,100,35,3,1,Male,Married,Vocational school/University-preparator,Only on special holidays,NA,NA,NA,NA,NA,NA,NA,Kansai,Mie,"100,000-500,000",1225,18-35 years,2.5420080960133404,0.05648906880029646,0
WVS49,WVS7,W0 only,83.33333333333334,83.33333333333334,NA,NA,66.6666666666667,100,100,100,NA,100,100,33.3333333333333,NA,100,55,3,1,Female,Divorced,High school,Less often or never,NA,NA,NA,NA,NA,NA,NA,Kanto,Chiba,"100,000-500,000",3025,50+ years,14.002749630836599,0.6683130505626559,1
WVS50,WVS7,W0 only,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,NA,NA,33.3333333333333,50,42,1,0,Male,Divorced,Primary or Junior high school,Less often or never,NA,NA,NA,NA,NA,NA,NA,Kanto,Tokyo,"500,000 and more",1764,36-50 years,36.14853903095434,1.558985830598464,1
WVS51,WVS7,W0 only,59.25925925925927,59.25925925925927,NA,NA,66.6666666666667,55.5555555555556,44.4444444444444,55.5555555555556,77.77777777777777,100,100,33.3333333333333,33.3333333333333,100,51,2,0,Male,Single,Vocational school/University-preparator,Less often or never,NA,NA,NA,NA,NA,NA,NA,Kansai,Osaka,"500,000 and more",2601,50+ years,20.005238928520306,0.7468019057026812,1
WVS52,WVS7,W0 only,85.18518518518519,85.18518518518519,NA,NA,100,88.8888888888889,55.5555555555556,66.6666666666667,63.888888888888886,100,100,0,33.3333333333333,50,25,5,0,Female,Single,University-level education,Once a year,NA,NA,NA,NA,NA,NA,NA,Kanto,Tokyo,"500,000 and more",625,18-35 years,36.14853903095434,1.558985830598464,1
WVS53,WVS7,W0 only,NA,NA,NA,NA,33.3333333333333,NA,NA,NA,NA,NA,NA,NA,NA,100,75,1,0,Female,Widowed,Primary or Junior high school,Only on special holidays,NA,NA,NA,NA,NA,NA,NA,Kanto,Kanagawa,"500,000 and more",5625,50+ years,13.521212877694081,0.6928403716352451,1
WVS54,WVS7,W0 only,NA,NA,NA,NA,NA,88.8888888888889,77.7777777777778,77.7777777777778,NA,100,100,33.3333333333333,NA,50,44,5,3,Male,Married,High school,Only on special holidays,NA,NA,NA,NA,NA,NA,NA,Shikoku,Kochi,"100,000-500,000",1936,36-50 years,10.700956000271862,0.43382254055156194,0
WVS55,WVS7,W0 only,81.48148148148148,81.48148148148148,NA,NA,100,100,44.4444444444444,44.4444444444444,NA,66.6666666666667,100,NA,33.3333333333333,100,37,5,3,Female,Married,High school,Less often or never,NA,NA,NA,NA,NA,NA,NA,Hokkaido and Tohoku,Akita,"5,000-20,000",1369,36-50 years,1.6675316987353854,0,0
WVS56,WVS7,W0 only,74.07407407407408,74.07407407407408,NA,NA,66.6666666666667,100,44.4444444444444,100,72.22222222222223,100,100,0,33.3333333333333,100,59,3,2,Male,Married,University-level education,Less often or never,NA,NA,NA,NA,NA,NA,NA,Kanto,Kanagawa,"500,000 and more",3481,50+ years,13.521212877694081,0.6928403716352451,1
WVS57,WVS7,W0 only,70.37037037037038,70.37037037037038,NA,NA,66.6666666666667,100,44.4444444444444,77.7777777777778,72.22222222222223,100,100,0,33.3333333333333,100,57,3,1,Female,Married,University-level education,Less often or never,NA,NA,NA,NA,NA,NA,NA,Kansai,Osaka,"500,000 and more",3249,50+ years,20.005238928520306,0.7468019057026812,1
WVS58,WVS7,W0 only,NA,NA,NA,NA,NA,66.6666666666667,22.2222222222222,44.4444444444444,NA,100,100,NA,NA,100,41,5,3,Female,Married,Vocational school/University-preparator,Once a year,NA,NA,NA,NA,NA,NA,NA,Kanto,Kanagawa,"100,000-500,000",1681,36-50 years,13.521212877694081,0.6928403716352451,1
WVS59,WVS7,W0 only,NA,NA,NA,NA,NA,NA,0,NA,NA,100,NA,NA,NA,50,22,5,0,Female,Single,University-level education,Once a year,NA,NA,NA,NA,NA,NA,NA,Chubu,Aichi,"500,000 and more",484,18-35 years,6.721984934533568,0.4507839995545193,0
WVS60,WVS7,W0 only,62.96296296296296,62.96296296296296,NA,NA,66.6666666666667,77.7777777777778,44.4444444444444,55.5555555555556,NA,100,100,33.3333333333333,NA,100,43,4,2,Female,Married,High school,Only on special holidays,NA,NA,NA,NA,NA,NA,NA,Kansai,Hyogo,"100,000-500,000",1849,36-50 years,12.772181968094431,0.6953336888074332,1
WVS61,WVS7,W0 only,64.81481481481481,64.81481481481481,NA,NA,66.6666666666667,100,44.4444444444444,44.4444444444444,75,66.6666666666667,100,66.6666666666667,33.3333333333333,100,58,2,3,Female,Married,Vocational school/University-preparator,Less often or never,NA,NA,NA,NA,NA,NA,NA,Hokkaido and Tohoku,Yamagata,"20,000-100,000",3364,50+ years,6.460510829782394,0,0
WVS62,WVS7,W0 only,64.81481481481482,64.81481481481482,NA,NA,66.6666666666667,77.7777777777778,44.4444444444444,66.6666666666667,77.77777777777777,100,100,33.3333333333333,33.3333333333333,100,54,5,3,Female,Married,University-level education,Less often or never,NA,NA,NA,NA,NA,NA,NA,Chubu,Niigata,"500,000 and more",2916,50+ years,3.7251189312361217,0,0
WVS63,WVS7,W0 only,38.888888888888886,38.888888888888886,NA,NA,33.3333333333333,44.4444444444444,44.4444444444444,44.4444444444444,NA,NA,100,33.3333333333333,33.3333333333333,100,77,5,3,Female,Divorced,Primary or Junior high school,Once a month,NA,NA,NA,NA,NA,NA,NA,Chubu,Niigata,"500,000 and more",5929,50+ years,3.7251189312361217,0,0
WVS64,WVS7,W0 only,NA,NA,NA,NA,NA,88.8888888888889,66.6666666666667,100,77.77777777777777,100,100,33.3333333333333,33.3333333333333,100,28,3,1,Female,Married,High school,Less often or never,NA,NA,NA,NA,NA,NA,NA,Kansai,Hyogo,"100,000-500,000",784,18-35 years,12.772181968094431,0.6953336888074332,1
WVS65,WVS7,W0 only,75.92592592592592,75.92592592592592,NA,NA,66.6666666666667,77.7777777777778,77.7777777777778,100,NA,100,100,33.3333333333333,NA,100,21,5,0,Female,Single,University-level education,Less often or never,NA,NA,NA,NA,NA,NA,NA,Kanto,Kanagawa,"500,000 and more",441,18-35 years,13.521212877694081,0.6928403716352451,1
WVS66,WVS7,W0 only,66.66666666666666,66.66666666666666,NA,NA,100,44.4444444444444,11.1111111111111,44.4444444444444,83.33333333333334,100,100,66.6666666666667,33.3333333333333,100,64,3,2,Female,Married,Vocational school/University-preparator,Only on special holidays,NA,NA,NA,NA,NA,NA,NA,Kanto,Tokyo,"500,000 and more",4096,50+ years,36.14853903095434,1.558985830598464,1
WVS67,WVS7,W0 only,57.407407407407405,57.407407407407405,NA,NA,66.6666666666667,44.4444444444444,0,100,NA,66.6666666666667,100,0,NA,100,63,3,1,Female,Married,University-level education,Less often or never,NA,NA,NA,NA,NA,NA,NA,Kanto,Tokyo,"500,000 and more",3969,50+ years,36.14853903095434,1.558985830598464,1
WVS68,WVS7,W0 only,16.666666666666668,16.666666666666668,NA,NA,33.3333333333333,0,0,0,NA,66.6666666666667,100,NA,33.3333333333333,0,68,1,0,Female,Married,Vocational school/University-preparator,Less often or never,NA,NA,NA,NA,NA,NA,NA,Kanto,Kanagawa,"100,000-500,000",4624,50+ years,13.521212877694081,0.6928403716352451,1
WVS69,WVS7,W0 only,96.2962962962963,96.2962962962963,NA,NA,100,77.7777777777778,100,100,69.44444444444444,100,100,0,66.6666666666667,50,50,1,0,Male,Single,University-level education,Less often or never,NA,NA,NA,NA,NA,NA,NA,Kanto,Tokyo,"500,000 and more",2500,36-50 years,36.14853903095434,1.558985830598464,1
WVS70,WVS7,W0 only,81.48148148148148,81.48148148148148,NA,NA,100,55.5555555555556,55.5555555555556,77.7777777777778,69.44444444444444,100,100,0,66.6666666666667,50,69,2,2,Male,Married,High school,Once a week or more,NA,NA,NA,NA,NA,NA,NA,Kanto,Kanagawa,"500,000 and more",4761,50+ years,13.521212877694081,0.6928403716352451,1
WVS71,WVS7,W0 only,55.55555555555556,55.55555555555556,NA,NA,33.3333333333333,33.3333333333333,100,100,83.33333333333334,100,100,66.6666666666667,33.3333333333333,100,73,1,2,Male,Married,Primary or Junior high school,Only on special holidays,NA,NA,NA,NA,NA,NA,NA,Chugoku,Okayama,"20,000-100,000",5329,50+ years,1.3238496276275766,0,0
WVS72,WVS7,W0 only,38.888888888888886,38.888888888888886,NA,NA,33.3333333333333,88.8888888888889,22.2222222222222,22.2222222222222,69.44444444444444,100,100,33.3333333333333,33.3333333333333,50,43,4,2,Male,Married,Vocational school/University-preparator,Once a year,NA,NA,NA,NA,NA,NA,NA,Kanto,Tokyo,"500,000 and more",1849,36-50 years,36.14853903095434,1.558985830598464,1
WVS73,WVS7,W0 only,NA,NA,NA,NA,NA,77.7777777777778,77.7777777777778,88.8888888888889,NA,NA,100,66.6666666666667,66.6666666666667,100,43,1,0,Male,Single,Vocational school/University-preparator,Less often or never,NA,NA,NA,NA,NA,NA,NA,Kanto,Tokyo,"500,000 and more",1849,36-50 years,36.14853903095434,1.558985830598464,1
WVS74,WVS7,W0 only,81.48148148148148,81.48148148148148,NA,NA,100,100,44.4444444444444,44.4444444444444,NA,66.6666666666667,NA,33.3333333333333,0,100,19,1,0,Female,Single,High school,Less often or never,NA,NA,NA,NA,NA,NA,NA,Chubu,Niigata,"500,000 and more",361,18-35 years,3.7251189312361217,0,0
WVS75,WVS7,W0 only,83.33333333333334,83.33333333333334,NA,NA,66.6666666666667,100,100,100,NA,100,100,66.6666666666667,NA,100,27,4,2,Female,Married,Primary or Junior high school,Less often or never,NA,NA,NA,NA,NA,NA,NA,Chubu,Gifu,"20,000-100,000",729,18-35 years,7.580573920197782,0.35376011627589654,0
WVS76,WVS7,W0 only,NA,NA,NA,NA,NA,44.4444444444444,44.4444444444444,44.4444444444444,72.22222222222223,100,100,0,33.3333333333333,100,45,1,0,Male,Single,Primary or Junior high school,Less often or never,NA,NA,NA,NA,NA,NA,NA,Kansai,Hyogo,"500,000 and more",2025,36-50 years,12.772181968094431,0.6953336888074332,1
WVS77,WVS7,W0 only,100,100,NA,NA,100,100,100,100,77.77777777777777,100,100,33.3333333333333,33.3333333333333,100,41,3,1,Male,Married,Vocational school/University-preparator,Less often or never,NA,NA,NA,NA,NA,NA,NA,Hokkaido and Tohoku,Miyagi,"20,000-100,000",1681,36-50 years,3.8227694574621327,0.04344056201661515,0
